,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,1,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,2,[1. 0. 0. 0. 0.],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.91928571 0.0472973  0.03125    0.07142857 0.0625    ],1.131761583011583
2,0,3,[1. 0. 0. 0. 0.],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.975      0.14189189 0.125      0.17857143 0.15625   ],1.5767133204633204
3,0,4,[1. 0. 0. 0. 0.],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.845      0.16891892 0.25       0.17857143 0.1875    ],1.6299903474903474
4,0,7,[1. 0. 0. 0. 0.],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.92625    0.20945946 0.25       0.25       0.25      ],1.8857094594594594
5,0,6,[1. 0. 0. 0. 0.],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.93122449 0.44594595 0.5625     0.53571429 0.5625    ],3.03788472145615
6,0,0,[1. 0. 0. 0. 0.],[0. 1. 1. 1. 1.],[1. 1. 1. 1. 1.],5.0
7,0,5,[1. 0. 0. 0. 0.],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.99473684 2.14864865 2.25       2.14285714 2.25      ],9.786242633611055
8,1,2,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.25071429 0.02027027 0.09375    0.03571429 0.        ],0.40044884169884176
9,1,3,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.30642857 0.07432432 0.         0.14285714 0.09375   ],0.6173600386100386
10,1,4,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.17642857 0.10135135 0.125      0.14285714 0.125     ],0.6706370656370657
11,1,7,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.25767857 0.14189189 0.125      0.21428571 0.1875    ],0.9263561776061776
12,1,1,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[1. 0. 0. 0. 0.],[0.66857143 0.06756757 0.125      0.03571429 0.0625    ],0.9593532818532818
13,1,6,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.26265306 0.37837838 0.4375     0.5        0.5       ],2.0785314396028682
14,1,0,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0. 1. 1. 1. 1.],[0.33142857 0.93243243 0.875      0.96428571 0.9375    ],4.040646718146718
15,1,5,[0.33142857 0.06756757 0.125      0.03571429 0.0625    ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.32616541 2.08108108 2.125      2.10714286 2.1875    ],8.826889351757773
16,2,2,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.15878571 0.0472973  0.125      0.03571429 0.0625    ],0.42929729729729726
17,2,4,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.0845     0.07432432 0.09375    0.14285714 0.0625    ],0.4579314671814671
18,2,3,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.2145     0.0472973  0.03125    0.14285714 0.03125   ],0.46715444015444013
19,2,7,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.16575    0.11486486 0.09375    0.21428571 0.125     ],0.7136505791505792
20,2,1,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[1. 0. 0. 0. 0.],[0.7605     0.09459459 0.15625    0.03571429 0.125     ],1.1720588803088805
21,2,6,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.17072449 0.35135135 0.40625    0.5        0.4375    ],1.8658258411472697
22,2,0,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0. 1. 1. 1. 1.],[0.2395     0.90540541 0.84375    0.96428571 0.875     ],3.8279411196911197
23,2,5,[0.2395     0.09459459 0.15625    0.03571429 0.125     ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.23423684 2.05405405 2.09375    2.10714286 2.125     ],8.614183753302175
24,3,3,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0. 0. 0. 0. 0.],0.0
25,3,4,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.13       0.02702703 0.125      0.         0.03125   ],0.3132770270270271
26,3,7,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.04875    0.06756757 0.125      0.07142857 0.09375   ],0.406496138996139
27,3,2,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.05571429 0.09459459 0.09375    0.10714286 0.09375   ],0.44495173745173744
28,3,6,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.04377551 0.30405405 0.4375     0.35714286 0.40625   ],1.548722421400993
29,3,1,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[1. 0. 0. 0. 0.],[0.975      0.14189189 0.125      0.17857143 0.15625   ],1.5767133204633204
30,3,0,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0. 1. 1. 1. 1.],[0.025      0.85810811 0.875      0.82142857 0.84375   ],3.4232866795366794
31,3,5,[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.01973684 2.00675676 2.125      1.96428571 2.09375   ],8.209529313147733
32,4,2,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 0. 0. 0. 0.],0.0
33,4,3,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.05571429 0.09459459 0.09375    0.10714286 0.09375   ],0.44495173745173744
34,4,4,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.07428571 0.12162162 0.21875    0.10714286 0.125     ],0.646800193050193
35,4,7,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.00696429 0.16216216 0.21875    0.17857143 0.1875    ],0.7539478764478764
36,4,1,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[1. 0. 0. 0. 0.],[0.91928571 0.0472973  0.03125    0.07142857 0.0625    ],1.131761583011583
37,4,6,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.06877551 0.44594595 0.5625     0.53571429 0.5625    ],[0.01193878 0.39864865 0.53125    0.46428571 0.5       ],1.906123138444567
38,4,0,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0. 1. 1. 1. 1.],[0.08071429 0.9527027  0.96875    0.92857143 0.9375    ],3.868238416988417
39,4,5,[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.00526316 2.14864865 2.25       2.14285714 2.25      ],[0.07545113 2.10135135 2.21875    2.07142857 2.1875    ],8.654481050599472
40,5,2,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.08071429 0.0472973  0.03125    0.07142857 0.0625    ],[0.26928571 0.0472973  0.15625    0.         0.        ],0.47283301158301155
41,5,4,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.155      0.16891892 0.25       0.17857143 0.1875    ],[0.195      0.07432432 0.0625     0.10714286 0.125     ],0.5639671814671814
42,5,3,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.025      0.14189189 0.125      0.17857143 0.15625   ],[0.325      0.0472973  0.0625     0.10714286 0.09375   ],0.6356901544401543
43,5,7,[0.35       0.09459459 0.1875     0.07142857 0.0625    ],[0.07375    0.20945946 0.25       0.25       0.25      ],[0.27625    0.11486486 0.0625     0.17857143 0.1875    ],0.8196862934362934
