,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,10,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,16,[1. 0. 0. 0. 0.],[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[6.96233564e-01 5.50357733e-04 2.01207243e-03 1.00806452e-03
 1.04058273e-03]",0.700844641037849
2,0,18,[1. 0. 0. 0. 0.],[0.28200914 0.00078623 0.00301811 0.00201613 0.00208117],[0.71799086 0.00078623 0.00301811 0.00201613 0.00208117],0.7258924909606458
3,0,19,[1. 0. 0. 0. 0.],[0.17322264 0.00110072 0.00301811 0.00201613 0.00208117],[0.82677736 0.00110072 0.00301811 0.00201613 0.00208117],0.8349934754104333
4,0,0,[1. 0. 0. 0. 0.],[0.10069831 0.00157245 0.00301811 0.00201613 0.00208117],[0.89930169 0.00157245 0.00301811 0.00201613 0.00208117],0.9079895401543518
5,0,3,[1. 0. 0. 0. 0.],[0.0809717  0.00220143 0.00402414 0.00201613 0.00312175],[0.9190283  0.00220143 0.00402414 0.00201613 0.00312175],0.9303917569998608
6,0,6,[1. 0. 0. 0. 0.],[0.06008469 0.00306628 0.00503018 0.00403226 0.00416233],[0.93991531 0.00306628 0.00503018 0.00403226 0.00416233],0.9562063597499951
7,0,9,[1. 0. 0. 0. 0.],[0.05511159 0.00369526 0.00603622 0.00403226 0.00520291],[0.94488841 0.00369526 0.00603622 0.00403226 0.00520291],0.9638550558424289
8,0,11,[1. 0. 0. 0. 0.],[0.05279852 0.00377388 0.00603622 0.00403226 0.00520291],[0.94720148 0.00377388 0.00603622 0.00403226 0.00520291],0.9662467466933489
9,0,7,[1. 0. 0. 0. 0.],[0.0505906  0.0038525  0.00603622 0.00403226 0.00520291],[0.9494094  0.0038525  0.00603622 0.00403226 0.00520291],0.9685332980752823
10,0,5,[1. 0. 0. 0. 0.],[0.03358625 0.00581807 0.00804829 0.00604839 0.00728408],[0.96641375 0.00581807 0.00804829 0.00604839 0.00728408],0.9936125758765528
11,0,4,[1. 0. 0. 0. 0.],[0.02864188 0.00809812 0.0110664  0.00907258 0.01040583],[0.97135812 0.00809812 0.0110664  0.00907258 0.01040583],1.0100010442177179
12,0,8,[1. 0. 0. 0. 0.],[0.01921881 0.00990644 0.01207243 0.01008065 0.01144641],[0.98078119 0.00990644 0.01207243 0.01008065 0.01144641],1.0242871229246793
13,0,2,[1. 0. 0. 0. 0.],[0.0186708  0.00998506 0.01207243 0.01008065 0.01144641],[0.9813292  0.00998506 0.01207243 0.01008065 0.01144641],1.0249137553842915
14,0,1,[1. 0. 0. 0. 0.],[0.01708203 0.02515921 0.03219316 0.03024194 0.02809573],[0.98291797 0.02515921 0.03219316 0.03024194 0.02809573],1.098608010859254
15,0,13,[1. 0. 0. 0. 0.],[0.00701115 0.0366381  0.04024145 0.03830645 0.03850156],[0.99298885 0.0366381  0.04024145 0.03830645 0.03850156],1.1466764147023263
16,0,14,[1. 0. 0. 0. 0.],[0.00493522 0.49933171 0.54929577 0.5483871  0.53381894],[0.99506478 0.49933171 0.54929577 0.5483871  0.53381894],3.1258982982038033
17,0,17,[1. 0. 0. 0. 0.],[0.00490977 0.49956758 0.54929577 0.5483871  0.53381894],[0.99509023 0.49956758 0.54929577 0.5483871  0.53381894],3.1261596188413643
18,0,15,[1. 0. 0. 0. 0.],[0.00379346 0.56883403 0.61267606 0.61290323 0.59937565],[0.99620654 0.56883403 0.61267606 0.61290323 0.59937565],3.3899954955325593
19,0,12,[1. 0. 0. 0. 0.],"[1.80619992e-05 9.99685510e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",[0.99998194 0.99968551 1.         1.         1.        ],4.999667447867928
20,1,16,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.30376644 0.00055036 0.00201207 0.00100806 0.00104058],"[3.48116782e-01 2.35867600e-04 0.00000000e+00 1.00806452e-03
 1.04058273e-03]",0.35040129665623954
21,1,10,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[1. 0. 0. 0. 0.],"[3.48116782e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",0.3504433443816095
22,1,18,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.28200914 0.00078623 0.00301811 0.00201613 0.00208117],[0.36987408 0.00047174 0.00100604 0.00201613 0.00208117],0.3754491465790363
23,1,19,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.17322264 0.00110072 0.00301811 0.00201613 0.00208117],[0.47866057 0.00078623 0.00100604 0.00201613 0.00208117],0.4845501310288238
24,1,0,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.10069831 0.00157245 0.00301811 0.00201613 0.00208117],[0.5511849  0.00125796 0.00100604 0.00201613 0.00208117],0.5575461957727423
25,1,3,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.0809717  0.00220143 0.00402414 0.00201613 0.00312175],[0.57091152 0.00188694 0.00201207 0.00201613 0.00312175],0.5799484126182513
26,1,6,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.06008469 0.00306628 0.00503018 0.00403226 0.00416233],[0.59179853 0.00275179 0.00301811 0.00403226 0.00416233],0.6057630153683856
27,1,9,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.05511159 0.00369526 0.00603622 0.00403226 0.00520291],[0.59677163 0.00338077 0.00402414 0.00403226 0.00520291],0.6134117114608195
28,1,11,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.05279852 0.00377388 0.00603622 0.00403226 0.00520291],[0.59908469 0.00345939 0.00402414 0.00403226 0.00520291],0.6158034023117394
29,1,7,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.0505906  0.0038525  0.00603622 0.00403226 0.00520291],[0.60129262 0.00353801 0.00402414 0.00403226 0.00520291],0.6180899536936728
30,1,5,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.03358625 0.00581807 0.00804829 0.00604839 0.00728408],[0.61829697 0.00550358 0.00603622 0.00604839 0.00728408],0.6431692314949433
31,1,4,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.02864188 0.00809812 0.0110664  0.00907258 0.01040583],[0.62324134 0.00778363 0.00905433 0.00907258 0.01040583],0.6595576998361083
32,1,8,"[6.51883218e-01 3.14490133e-04 2.01207243e-03 0.00000000e+00
 0.00000000e+00]",[0.01921881 0.00990644 0.01207243 0.01008065 0.01144641],[0.63266441 0.00959195 0.01006036 0.01008065 0.01144641],0.67384377854307
