,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,1,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,4,[1. 0. 0. 0. 0.],[0.41596639 0.00568182 0.         0.         0.        ],[0.58403361 0.00568182 0.         0.         0.        ],0.5897154316271963
2,0,6,[1. 0. 0. 0. 0.],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.73004202 0.02272727 0.02631579 0.03125    0.02631579],0.8366508684813638
3,0,7,[1. 0. 0. 0. 0.],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.87605042 0.05113636 0.05263158 0.0625     0.07894737],1.121265731172852
4,0,8,[1. 0. 0. 0. 0.],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.90849673 0.05681818 0.05263158 0.0625     0.07894737],1.1593938612127466
5,0,5,[1. 0. 0. 0. 0.],[0.06554622 0.0625     0.05263158 0.0625     0.07894737],[0.93445378 0.0625     0.05263158 0.0625     0.07894737],1.191032728881026
6,0,2,[1. 0. 0. 0. 0.],[0.01636444 0.125      0.10526316 0.15625    0.13157895],[0.98363556 0.125      0.10526316 0.15625    0.13157895],1.5017276647501105
7,0,3,[1. 0. 0. 0. 0.],[0.00497977 0.77840909 0.78947368 0.84375    0.78947368],[0.99502023 0.77840909 0.78947368 0.84375    0.78947368],4.196126689644491
8,0,0,[1. 0. 0. 0. 0.],[0.00165194 0.84090909 0.84210526 0.875      0.84210526],[0.99834806 0.84090909 0.84210526 0.875      0.84210526],4.398467674396467
9,1,6,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.26995798 0.02272727 0.02631579 0.03125    0.02631579],[0.         0.03977273 0.07894737 0.03125    0.02631579],0.1762858851674641
10,1,7,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.12394958 0.05113636 0.05263158 0.0625     0.07894737],[0.1460084  0.01136364 0.05263158 0.         0.02631579],0.2363194081460335
11,1,8,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.09150327 0.05681818 0.05263158 0.0625     0.07894737],[0.17845472 0.00568182 0.05263158 0.         0.02631579],0.2630839018222919
12,1,5,[0.26995798 0.0625     0.10526316 0.0625     0.05263158],[0.06554622 0.0625     0.05263158 0.0625     0.07894737],[0.20441176 0.         0.05263158 0.         0.02631579],0.28335913312693495
