,Exh. Idx,Selevminer Idx,Exh. metric,Selevminer metric,Abs. difference,Manhattan dist.
0,0,1,[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.0
1,0,2,[1. 0. 0. 0. 0.],[0.37837838 0.03448276 0.         0.         0.        ],[0.62162162 0.03448276 0.         0.         0.        ],0.6561043802423112
2,0,3,[1. 0. 0. 0. 0.],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.77702703 0.13793103 0.14285714 0.14285714 0.125     ],1.3256723472240712
3,0,4,[1. 0. 0. 0. 0.],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.87027027 0.17241379 0.14285714 0.28571429 0.25      ],1.721255491945147
4,0,5,[1. 0. 0. 0. 0.],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.88803089 0.27586207 0.28571429 0.28571429 0.375     ],2.1103215284249766
5,0,0,[1. 0. 0. 0. 0.],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.8978979  0.37931034 0.42857143 0.28571429 0.375     ],2.3664939570111985
6,1,2,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.37837838 0.03448276 0.         0.         0.        ],[0.15540541 0.17241379 0.42857143 0.         0.        ],0.7563906270802823
7,1,3,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.31081081 0.06896552 0.28571429 0.14285714 0.125     ],0.9333477566236188
8,1,1,[0.53378378 0.20689655 0.42857143 0.         0.        ],[1. 0. 0. 0. 0.],[0.46621622 0.20689655 0.42857143 0.         0.        ],1.1016841965117827
9,1,4,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.40405405 0.03448276 0.28571429 0.28571429 0.25      ],1.2599653841033152
10,1,0,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.43168168 0.17241379 0.         0.28571429 0.375     ],1.2648097604994155
11,1,5,[0.53378378 0.20689655 0.42857143 0.         0.        ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.42181467 0.06896552 0.14285714 0.28571429 0.375     ],1.2943516176274796
12,2,0,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.1021021  0.37931034 0.42857143 0.28571429 0.375     ],[0.18747319 0.03448276 0.14285714 0.14285714 0.125     ],0.6326702318081627
13,2,5,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.11196911 0.27586207 0.28571429 0.28571429 0.375     ],[0.17760618 0.06896552 0.28571429 0.14285714 0.125     ],0.8001431234189855
14,2,3,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.22297297 0.13793103 0.14285714 0.14285714 0.125     ],[0.06660232 0.20689655 0.42857143 0.         0.125     ],0.8270702968978831
15,2,4,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.12972973 0.17241379 0.14285714 0.28571429 0.25      ],[0.15984556 0.17241379 0.42857143 0.14285714 0.        ],0.9036879243775795
16,2,2,[0.28957529 0.34482759 0.57142857 0.14285714 0.25      ],[0.37837838 0.03448276 0.         0.         0.        ],[0.08880309 0.31034483 0.57142857 0.14285714 0.25      ],1.3634336306750099
